Timestamp,no_food,no_fast_food,sleep_without_phone,no_nut,gt_130BPM,gt_180BPM,weighted_walk,vitamins
2025-12-13,0,0,0,0,0,0,0,0
2025-12-14,0,0,0,0,0,0,0,0
2025-12-15,0,0,0,0,0,0,0,0
2025-12-16,0,0,0,0,0,0,0,0
2025-12-17,0,0,0,0,0,0,0,0
2025-12-18,0,0,0,0,0,0,0,0
2025-12-19,0,0,0,0,0,0,0,0
2025-12-20,0,0,0,0,0,0,0,0
2025-12-21,0,0,0,0,0,0,0,0
2025-12-22,0,0,0,0,0,0,0,0
2025-12-23,0,0,0,0,0,0,0,0
2025-12-24,0,0,0,0,0,0,0,0
2025-12-25,0,0,0,0,0,0,0,0
2025-12-26,0,0,0,0,0,0,0,0
2025-12-27,1,1,0,1,1,1,1,1
